high_watermark,row_count,head_position,timestamp
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:27
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:28
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
0,0,0,2026-06-04 20:29:29
1578,0,0,2026-06-04 20:29:29
1706,0,0,2026-06-04 20:29:30
1836,0,0,2026-06-04 20:29:30
1976,0,0,2026-06-04 20:29:30
2115,0,0,2026-06-04 20:29:30
2241,0,0,2026-06-04 20:29:30
2384,0,0,2026-06-04 20:29:30
2522,0,0,2026-06-04 20:29:30
2648,0,0,2026-06-04 20:29:30
2792,0,0,2026-06-04 20:29:30
2918,0,0,2026-06-04 20:29:30
3056,0,0,2026-06-04 20:29:31
3193,0,0,2026-06-04 20:29:31
3330,0,0,2026-06-04 20:29:31
3467,0,0,2026-06-04 20:29:31
3605,0,0,2026-06-04 20:29:31
3726,0,0,2026-06-04 20:29:31
3864,0,0,2026-06-04 20:29:31
4008,0,0,2026-06-04 20:29:31
4144,0,0,2026-06-04 20:29:31
4279,0,0,2026-06-04 20:29:31
4402,0,0,2026-06-04 20:29:32
4543,0,0,2026-06-04 20:29:32
4680,0,0,2026-06-04 20:29:32
4818,0,0,2026-06-04 20:29:32
4942,0,0,2026-06-04 20:29:32
5082,0,0,2026-06-04 20:29:32
5227,0,0,2026-06-04 20:29:32
5361,0,0,2026-06-04 20:29:32
5496,0,0,2026-06-04 20:29:32
5630,0,0,2026-06-04 20:29:32
5765,0,0,2026-06-04 20:29:33
5888,0,0,2026-06-04 20:29:33
6026,0,0,2026-06-04 20:29:33
6139,0,0,2026-06-04 20:29:33
6299,0,0,2026-06-04 20:29:33
6436,0,0,2026-06-04 20:29:33
6577,0,0,2026-06-04 20:29:33
6700,0,0,2026-06-04 20:29:33
6842,0,0,2026-06-04 20:29:33
6982,0,0,2026-06-04 20:29:33
7117,0,0,2026-06-04 20:29:34
7248,0,0,2026-06-04 20:29:34
7375,0,0,2026-06-04 20:29:34
7514,0,0,2026-06-04 20:29:34
7650,0,0,2026-06-04 20:29:34
7787,0,0,2026-06-04 20:29:34
7926,0,0,2026-06-04 20:29:34
8052,0,0,2026-06-04 20:29:34
8191,0,0,2026-06-04 20:29:34
8326,0,0,2026-06-04 20:29:34
8470,0,0,2026-06-04 20:29:35
8594,0,0,2026-06-04 20:29:35
